region_clean,cent_lat,cent_lon
pauillac,45.19119999999995,-0.7518000000000024
beaune les teurons,47.0247,4.8435
ladoix les buis,47.0576,4.8621
corton grand cru les marechaudes,47.05630000000001,4.8641
corton les carrieres,47.235301,4.886299
nuits saint georges la richemone,46.525702,2.282407
bordeaux,44.837789999999835,-0.5791799999999985
beaune aux coucherias,47.0152,4.8398
pomerol,44.933399999999914,-0.20149999999999998
richebourg,46.577721,1.7716600000000005
mercurey le clos du roy,46.8334,4.7446
volnay le village,46.9431,4.7644
savigny les beaune les narbantons,47.0585,4.8265
musigny,47.239368000000006,3.153248
beaune les greves,47.0258,4.844099999999999
morey saint denis les faconnieres,46.946999,5.001211
santenay clos des mouches,46.9109,4.6934
beaune les boucherottes,47.0142,4.8361
cotes de bordeaux,44.75,-0.3166700000000001
gevrey chambertin la perriere,47.2283,4.9692
nuits saint georges,47.136199999999945,4.948300000000004
vougeot clos de la perriere,47.071113,4.710337
volnay carelle sous la chapelle,46.9445,4.764
corton les grandes lolieres,47.107621,5.074841
sainte foy bordeaux,44.83333,0.0
chambolle musigny les charmes,47.024744,4.813484
corton la vigne au saint,46.990763,4.77047
morey saint denis aux cheseaux,47.2041,4.9502
santenay premier cru,46.91199999999999,4.694400000000001
chassagne montrachet la boudriotte,46.92450000000001,4.744
maranges le clos des rois,46.907,4.713
savigny les beaune premier cru,47.05630000000001,4.8243
la grande rue,43.654347,3.185772
chassagne montrachet les bondues,46.936,4.75
nuits saint georges aux thorey,47.1384,4.948900000000001
sommieres,43.90623,4.10231
collioure,42.533329999999985,3.0833300000000023
le pays cathare,43.25512,2.34876
nuits saint georges clos des argillieres,47.1368,4.9523
monthelie le clos gauthey,46.95914,4.77058
meursault,46.974,4.7839
chambolle musigny derriere la grange,46.9839,5.00727
morey saint denis les ruchots,47.2031,4.9501
faugeres,43.566670000000045,3.0833299999999966
mercurey clos marcilly,46.833499999999994,4.7429
corton les combes,46.908581,4.88775
volnay les lurets,46.9444,4.7664
vosne romanee aux malconsorts,47.0937,4.5716
gevrey chambertin les cazetiers,47.2294,4.9679
gevrey chambertin au closeau,47.2248,4.9708
morey saint denis les blanchards,47.2033,4.9513
ladoix les grechons et foutrieres,47.07,4.8702
cotes du roussillon villages latour de france,42.65532,2.76543
gevrey chambertin aux combottes,47.2115,4.951700000000001
northern rhne,46.19321,4.82234
bourgogne passe tout grains,47.0,4.78333
gevrey chambertin,47.222899999999996,4.96857
mercurey les crets,46.8261,4.7435
blaye cotes de bordeaux,45.133330000000036,-0.66667
cotes de malepere,43.20011,2.35678
les grands epenots,47.073272,4.883233
nuits saint georges aux murgers,47.13779999999999,4.9517999999999995
vosne romanee les petits monts,47.0937,4.5716
cote rotie,45.48118,4.799330000000024
beaune les feves,47.0183,4.8397
chambolle musigny les hauts doix,44.691027,4.924336
chassagne montrachet,46.935400000000016,4.751599999999997
corton les bressandes,47.07299999999999,4.8691
volnay le ronceret,47.198609,5.092349
crozes hermitage,45.089649999999914,4.830120000000006
gevrey chambertin combe au moine,47.18126800000001,5.035902
pic saint loup,43.8000000000001,3.850000000000008
rully marissou,46.8653,4.7723
les boucherottes,47.0135,4.8355
vosne romanee les suchots,47.093700000000005,4.571600000000001
coteaux de peyriac,43.18332999999999,2.73333
