Winery,Wine,vintage,Rating,num_review,region,price
Château Bellevue La Forêt,Fronton 2023,2023,3.4,2333,fronton,8.0
Château Les Alberts,Bordeaux 2022,2022,3.8,290,bordeaux,8.0
Château Tourril,Philippe 2020,2020,3.3,126,minervois,8.0
La Croix Sainte Eulalie,Saint-Chinian Rouge 2022,2022,3.5,286,saint-chinian,8.0
Francis Jourdain - Domaine des Moreaux,Les Griottes Valençay 2023,2023,3.6,190,valencay,8.1
Cave Les Coteaux de Visan,Grande Réserve Bio Côtes-du-Rhône-Villages 'Visan' 2017,2017,3.6,27,cotes-du-rhone-villages-visan,8.1
Saint Marc,Domaine des Vignes Longues Ventoux 2017,2017,3.6,71,cotes-du-ventoux,8.1
Estezargues,Cuvée des Galets Côtes du Rhône 2023,2023,3.6,3589,cotes-du-rhone,8.1
Cellier des Chartreux,Chevalier d'Anthelme Côtes du Rhône Rouge 2023,2023,3.9,93,cotes-du-rhone,8.25
Cellier des Chartreux,Chamasûtra Unlimited Love 2024,2024,3.9,2374,gard,8.25
Les Jamelles,Malbec 2023,2023,3.9,28,vin-de-pays-doc,8.35
Jeff Carrel,Le Fiston Terres du Midi 2020,2020,3.7,189,languedoc,8.35
Domaine Boudau,Le Petit Closi 2023,2023,3.7,318,vin-de-pays-de-mediterranee,8.4
Château Belair-Coubet,Côtes de Bourg 2019,2019,3.7,526,cotes-de-bourg,8.4
Emmanuel Fellot Vigneron,Vieilles Vignes Beaujolais Nouveau 2024,2024,3.4,68,beaujolais-nouveau,8.4
Domaine du Barrau,Bordeaux Rouge 2018,2018,3.6,34,bordeaux,8.43
Domaine du Barrau,Bordeaux Rouge 2014,2014,3.6,34,bordeaux,8.43
Château Malbat,Merlot - Cabernet Bordeaux 2022,2022,3.6,2381,bordeaux,8.45
Château La Gorre,Chateau Haut Peyrillat Médoc 2021,2021,3.9,312,medoc,8.46
Château de Bouchet,Bordeaux 2019,2019,3.5,50,bordeaux,8.47
Paul Jaboulet Aîné,Secret de Famille Syrah 2018,2018,3.6,158,cotes-du-rhone,8.48
Victor Berard,Côtes du Rhône Rouge 2021,2021,3.6,187,cotes-du-rhone,8.49
Domaine de la Rochette,Gamay 2022,2022,3.6,267,touraine,8.5
Château le Prieur,Cuvée Passion Rouge 2018,2018,3.5,155,bordeaux,8.5
Domaine des Prés-Lasses,Rouge 2019,2019,3.9,48,pays-dherault,8.5
Château Fonsalade,Petit Bonheur Rouge 2022,2022,3.5,268,saint-chinian,8.5
Clos Cavenac,Terra 2020,2020,3.5,106,cotes-du-marmandais,8.5
LePlan-Vermeersch,Côtes-du-Rhône RS Rouge 2022,2022,3.6,470,cotes-du-rhone,8.5
Château le Prieur,Cuvée Passion Rouge 2019,2019,3.5,155,bordeaux,8.5
Réthoré Davy,Le Chapitre Pinot Noir 2023,2023,3.4,537,loire-valley,8.5
Vignobles Perez,L'Impertinent Bordeaux Rouge 2020,2020,3.6,44,bordeaux,8.5
Château Leroy-Beauval,Seigneur de Beauval Bordeaux Supérieur 2022,2022,3.8,469,bordeaux-superieur,8.5
Domaine Py,Pinot Noir 2024,2024,3.5,348,vin-de-pays-doc,8.5
Château Beaumont,Les Tours de Beaumont Haut-Médoc 2014,2014,3.5,323,medoc,8.5
Château de la Liquiere,Tutti Frutti 2023,2023,3.7,67,vin-de-pays-doc,8.5
Domaine de Pellehaut,Ampelomeryx Rouge 2022,2022,3.8,29,cotes-de-gascogne,8.5
Ogier,Ocres du Ventoux 2018,2018,3.4,208,cotes-du-ventoux,8.5
Cailhol Gautran,Sinequano 2023,2023,3.6,207,minervois,8.5
La Coume-Lumet,Le Maset de Lumet Haute Vallee de l'Aude Rouge 2020,2020,3.7,238,haute-vallee-de-laude,8.5
Domaine du Clos des Fées,Modeste Red 2024,2024,3.7,1124,cotes-du-roussillon,8.5
Château Guibonnet,Côtes de Bourg 2019,2019,4.0,95,cotes-de-bourg,8.5
Guillaume Chamboredon,L'Arsouille Cinsault et Syrah 2022,2022,3.4,93,coteaux-de-beziers,8.5
Château Beaubois,Cuvée Expression Costières de Nîmes Rouge 2023,2023,3.6,2692,costieres-de-nimes,8.5
Sainte Marie des Crozes,Les Pipelettes Le Rouge 2022,2022,3.7,302,corbieres,8.5
Moulin de Gassac,Guilhem Rouge 2024,2024,3.7,8957,pays-dherault,8.5
Domaine du Chapitre,Mon Bon Plaisir 2023,2023,3.5,216,ardeche,8.5
Domaine Cavalier,Val de Montferrand Saint-Guilhem-le-Désert Rouge 2021,2021,3.9,120,saint-guilhem-le-desert,8.5
Domaine du Clos Roca,Ecceterra Rouge 2024,2024,3.7,461,pays-dherault,8.5
Moulin de Gassac,Guilhem Rouge 2023,2023,3.9,141,pays-dherault,8.5
Domaine Joel Delaunay,Gamay Touraine 2024,2024,3.4,305,touraine,8.5
Gayda,Syrah 2022,2022,3.5,1582,vin-de-pays-doc,8.5
Domaine la Provenquière,Syrah 2023,2023,3.5,64,vin-de-pays-doc,8.5
Domaine du Peyra,Cent Pour Cent Grenache 2023,2023,3.6,362,languedoc-roussillon,8.5
Marrenon,Amountanage Rouge 2021,2021,3.6,34,luberon,8.5
Clos des Vins d'Amour,Munt Rouge 2023,2023,3.9,472,cotes-du-roussillon,8.5
Menuts,Bordeaux 2019,2019,3.2,79,bordeaux,8.5
Domaine la Provenquière,Cuvée P Malbec - Petit Verdot 2021,2021,3.8,144,vin-de-pays-doc,8.5
Camille Cayran,L'Insouciante Côtes-du-Rhône 2022,2022,3.7,26,cotes-du-rhone,8.5
Domaine Les Alexandrins,La Cabanon dex Alexandrins Syrah 2022,2022,3.6,386,rhone,8.5
Marrenon,Grande Toque Rouge 2020,2020,3.7,67,luberon,8.5
Château des Sources,Costières de Nîmes 2020,2020,3.7,49,costieres-de-nimes,8.6
